,full_text,prediction
0,day challeng back repli amp like menangkan galaxywatch seri serta kesempatan untuk join day challeng untuk capai goal hidup yang lebih sehat ditunggu hingga mei,Positive
1,anoth reason dont mind use samsung featur built photo yawppp,Negative
2,samsung,Positive
3,anthoni jeanjean remport luci bmx freestyl park wolrd cup montpelli fisemontpelli ucibmxf montpelli montpellierm occitani samsung nissan ridetsg francetvslash ffcyclism nrjhitmusiconli,Positive
4,mani connect devic mani password data samsungtv knox vault chip shield onlin threat eas activ enjoy home entertain learn whysamsungtv samsungtvid,Positive
5,anjlok iphon amp samsung flagship turun harga thread,Positive
6,dump samsung bought honor magic rsr porsch,Positive
7,samsung camera,Positive
8,son amaz soul he alway think wonder analyz futur incred talk anyth everyth proud son cant wait see what store portrait photographi samsung sultra,Positive
9,love samsung featur slow video hold screen saur cool,Positive
10,new samsung galaxi,Positive
11,tem vergonha gastar com tendo samsung todo fodido dess,Positive
12,gak hanya iphon yang anjlok samsung lebih anjlok lagi save aja dulu ada duit ga thread httpstcogkoqrpu,Positive
13,experi crystal clear color favorit content samsungtv crystaluhd get see pictur qualiti combin airslim design fit space home solarcel remot power indoor light sunlight samsungtvid,Positive
14,thread jungwon fansit clip photo samsung galaxi fanmad concert dalla credit ukiiiuh enhypen sweet galaxi night galaxyxenhypen enhypenjungwon jungwon enhypenmemb,Positive
15,appl logo offici function samsung,Positive
16,samsung galaxi watch best smartwatch right,Positive
17,decid work art watch samsung thefram transform canva display galleri masterpiec make wall inspir discov art life,Positive
18,gak hanya iphon yang anjlok samsung lebih parah nih thread,Positive
19,feliz diadelasmadr discov new way share connect mother life use live translat galaxyai,Negative
20,galaxi samsung galaxyf,Positive
21,context whole buy samsung use concert thing would like remind everyon congo bleed human right notori abus big corpor peopl often children exploit put,Positive
22,amazonsamsung pro adataxpgtb,Positive
23,reaction pull samsung lol,Negative
24,awar diet progress track detail bodi composit galaxywatch classic amp galaxyzfold repli wan reach goal galaxywatch classic get httpstcoeiztyvi,Positive
25,new canada help exclus samsung technolog deal build thrive futur regist smartstart elig evouch toward first purchas term condit appli newtocanada samsungcanada httpstcoxemxov,Negative
26,giveaway samsung galaxi hari ini mimin mau giveaway samsung galaxi senilai nih caranya follow shopeeid amp like tweet ini klik banner bawah ini repli fitur apa yang pale kamu suka dari galaxi good luck,Positive
27,samsung admin straight delusion,Positive
28,samsung deal,Positive
29,samsung kitchen applianc httpstcofuxwpm,Positive
30,samsung love iphon bug httpstcodryxco,Positive
31,enha see group peopl samsung event,Positive
32,anni moon samsung founder black label upcom girl group lineup wont debut group httpstcolzchhmb,Positive
33,choos one appl samsung ecosystem,Negative
34,didnt get anywher special went girlfriend parent pretti cool barn shot samsung phone pro mode auroraboreali solarstorm,Positive
35,tanyakanrl cara matiin buat samsung user,Negative
36,unreal night enhypen amaz galaxi fan galaxyfanmad,Positive
37,anni moon samsung chairman granddaught drop black label new girlgroup line httpstcoidrjeg,Positive
38,veio travou samsung,Positive
39,fate there still samsung event,Positive
40,samsung pehli baar vegan leather use kia hai apn phone main dikhn main kaafi aacha qualiti lag raha hai aap batao aapko kaisa lag raha hai,Negative
41,vertic video ad complet gamechang samsung achiev impress result launch phone vertic video ad engag rate compar cost per engag compar standard promot video,Negative
42,tawang tawa sau gwenni binalik naman samsung goi httpstcofustpm,Positive
43,appl ipad pro samsung tab ultra slaughter even funni anymor,Negative
44,samsung httpstcolbfdtat,Positive
45,genc music offer samsung perform art theater best kaya gawin pwede buo matter mani time see perform alway feel like first constantli awe talent also pogi pogi niyaaaa,Positive
46,samsung releas gadget year samsung galaxi ring smart ring isnt new samsung galaxi ring make health track even better absolut winner term stronger samsung galaxi ecosystem buy,Positive
47,comment wild appl never win appl add tandem ole display samsung make appl display appl add world fastest tablet chip ipado appl make ipad thinner lighter snap like cracker,Positive
